source_id,source_x,source_y
1,72.02679239473956,68.72830044131277
2,9.575419866335766,92.25724049058
3,56.84722021568196,36.372552113568425
4,75.65385834953067,25.736545840163405
5,69.35098370463204,3.971120757224722
6,83.9408037609272,44.81708470213185
7,63.66929143579417,22.123781980668365
8,67.7073712658448,77.22402758932766
9,47.321318688439874,61.77269240617943
10,45.63259238223986,89.40913692578455
11,49.78691805143192,84.18087090288189
12,80.13520582702486,41.050482134835654
13,23.008449185747505,40.6082132559771
14,82.62173757752201,22.763253581939235
15,52.44363458577494,80.60967479607474
16,35.34774751283788,64.22096370026973
17,24.56315740488145,10.927944536815993
18,79.43842250928563,9.896862340870683
19,27.13813950795846,85.51094219974401
20,34.64692870786672,97.30453495141612
21,97.97343347738597,26.82760204535567
22,4.097822224989045,70.50632842053791
23,45.098650264834376,10.07528439595763
24,70.75228189780428,3.1174909111921223
25,87.01966904922422,13.865252911330373
